ID,PopTotal,PopUnder5,Pop5To9,Pop10To14,Pop15To19
4013319500,6406,482,229,204,426
4013319600,6403,372,310,168,293
4013319703,4552,271,147,57,440
4013319704,1935,60,56,88,33
4013319705,3713,190,192,191,353
4013319706,5873,620,484,276,313
4013319800,6761,365,412,342,351
4013319902,2983,146,166,76,166
4013319903,6049,172,352,285,397
4013319904,5234,277,263,152,279
4013319905,5362,126,242,351,310
4013319906,3596,208,107,206,245
4013319907,2266,47,106,163,176
4013319908,2699,108,143,174,174
4013319909,2495,136,105,157,75
4013319910,5635,332,227,332,370
4013320001,8801,678,711,363,159
4013320002,6482,576,469,586,390
4013320007,7235,132,233,398,350
4013320100,3409,96,19,24,128
4013420104,5887,267,384,264,428
4013420105,6102,313,379,303,414
4013420107,6743,374,287,446,388
4013420108,1758,69,150,162,136
4013420109,4874,197,184,315,405
4013420110,5552,341,485,416,342
4013420111,3865,332,218,198,238
4013420112,3299,236,230,261,217
4013420113,3807,167,224,312,246
4013420114,4003,211,310,375,318
4013420115,3288,91,407,233,157
4013420116,2876,7,37,166,88
4013420202,5605,484,137,87,197
4013420206,3634,70,22,43,96
4013420207,2881,39,120,135,166
4013420208,5770,332,548,464,524
4013420209,4022,101,119,238,156
4013420210,5590,356,356,469,490
4013420211,4238,118,173,429,229
4013420212,3240,158,50,86,137
4013420213,1947,0,0,9,0
4013420214,4128,153,142,65,109
4013420215,2335,205,133,153,126
4013420216,4319,221,275,294,114
4013420301,2386,186,257,181,99
4013420302,4761,285,352,447,364
4013420303,4775,410,419,362,423
4013420304,1131,45,83,96,56
4013420401,4766,314,434,416,311
4013420402,4161,487,301,296,273
4013420501,7585,550,600,626,322
4013420503,3917,435,411,335,169
4013420504,3653,222,172,258,289
4013420602,5364,358,352,478,359
4013420603,4059,204,317,258,318
4013420604,4762,228,404,405,490
4013420704,4968,368,347,370,310
4013420705,3946,129,344,445,401
4013420706,5048,408,373,538,373
4013420707,2373,53,26,25,132
4013420708,3679,126,170,94,0
4013420709,3472,118,48,71,63
4013420710,3845,335,261,133,254
4013420800,5429,540,472,312,447
4013420901,4126,506,357,349,356
4013420902,3761,263,337,299,185
4013421001,3991,242,174,186,177
4013421002,3445,297,193,260,388
4013421101,4987,334,298,506,252
4013421102,7069,693,739,510,448
4013421201,4976,308,213,111,198
4013421202,3997,180,236,267,327
4013421302,5504,424,240,222,381
4013421303,6196,613,529,500,370
4013421304,3237,322,91,106,138
4013421400,2452,157,18,63,48
4013421501,3911,351,207,336,262
4013421502,3340,194,305,472,208
4013421601,3767,439,327,234,334
4013421602,4622,303,355,437,271
4013421701,5185,543,278,200,466
4013421702,4678,324,462,452,420
4013421801,3029,173,203,221,274
4013421802,5205,562,524,386,152
4013421901,3944,352,385,370,374
4013421902,6686,794,671,772,478
4013422001,4452,467,369,352,251
4013422002,4330,270,433,420,379
4013422102,4825,274,460,220,708
4013422103,5308,566,370,277,175
4013422104,6508,481,696,348,521
4013422105,3384,232,411,245,113
4013422106,6200,605,611,483,352
4013422107,4365,299,356,271,226
4013422203,5493,518,373,303,336
4013422204,3049,171,175,102,175
4013422205,1612,91,77,82,44
4013422209,6660,430,342,307,313
4013422210,5292,451,329,244,236
4013422211,2633,105,86,164,148
4013422212,4434,311,215,257,234
4013422213,2765,124,228,166,202
4013422215,2254,143,177,139,139
4013422216,6512,384,343,474,160
4013422217,3618,227,233,161,133
4013422218,2765,138,193,229,159
4013422219,2922,152,128,277,220
4013422220,2008,109,118,88,66
4013422221,4051,216,108,159,242
4013422222,2365,282,82,224,152
4013422301,5667,383,436,668,507
4013422302,5512,323,551,404,374
4013422304,2843,154,66,89,191
4013422305,5275,269,256,413,327
4013422307,4070,185,274,167,255
4013422308,5554,288,380,443,534
4013422309,4815,380,361,346,381
4013422401,2969,240,223,161,202
4013422402,5240,364,430,265,555
4013422403,4863,292,257,336,278
4013422404,4403,294,269,334,324
4013422501,6305,606,340,366,541
4013422502,6503,529,507,523,363
